theme_id,theme_type,theme_name,theme_research_area
ea880e85-f413-4373-98af-428a6a52e465,Challenge,Engineering,Analytical Science
645516da-c627-4ea8-b057-d35168d65986,Challenge,Engineering,Architecture and Operating Systems
6c704d32-3a2a-462e-a1ae-916fc7506c5e,Challenge,Engineering,Artificial Intelligence Technologies
41fbadd0-19b8-48de-a012-fe2a8401354d,Challenge,Engineering,"Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics"
85001c51-b6ce-4e0a-b6a4-d637852be41e,Challenge,Engineering,Bioenergy
096cb244-b815-4adc-bc4e-c9a216d6f307,Challenge,Engineering,Biological Informatics
d1fe47c3-a1bf-4b34-b804-4d574d859e9b,Challenge,Engineering,Biomaterials and Tissue Engineering
34891f64-93be-4900-9092-5ab9f4649b36,Challenge,Engineering,Biophysics and Soft Matter Physics
c7cd59fc-7e7c-45d9-a706-aeca4cb6360b,Challenge,Engineering,Built Environment
0fbf5993-46c7-471d-a33c-a51d08e40012,Challenge,Engineering,Carbon Capture and Storage
8ffdc757-9c89-4b26-9ae3-5a610a4f97b3,Challenge,Engineering,Catalysis
8e2e644f-1d11-4642-b048-cac29ba374ca,Challenge,Engineering,Chemical Biology and Biological Chemistry
120fb446-6867-4509-994c-4a3c3abe21ae,Challenge,Engineering,Chemical Reaction Dynamics and Mechanisms
50d4a324-d834-4510-9e9a-7bbe9d85ff41,Challenge,Engineering,Clinical Technologies (excluding imaging)
091aaf70-3f32-4ccb-9685-9ed70d0db952,Challenge,Engineering,Coastal and Waterway Engineering
1155e225-24c4-4f6b-bcee-9b6d8f708f45,Challenge,Engineering,Combustion Engineering
0fac0e48-1fe9-4c7c-a3e2-421f0887e7f6,Challenge,Engineering,Complex Fluids & Rheology
452b6555-5f96-4437-98a4-5a862f4bfa29,Challenge,Engineering,Complexity Science
008abd2a-3289-47cd-b8f3-df7f666b4851,Challenge,Engineering,Computational & Theoretical Chemistry
8c9f07c3-4e96-45cf-8358-dfe627f774d1,Challenge,Engineering,Condensed Matter: Electronic Structure
2ccdf2a8-98a7-448c-ad4e-4a26afda66a6,Challenge,Engineering,Condensed Matter: Magnetism and Magnetic Materials
1ef3b651-13ff-4504-9aa3-c8e7d5dd2b0e,Challenge,Engineering,Continuum Mechanics
8555f5c0-f3d2-4963-8530-3c9587274cd8,Challenge,Engineering,Control Engineering
421fded2-2014-49ce-a118-7947492fa463,Challenge,Engineering,Digital Signal Processing
4ccfafa5-15f5-48f6-a8d0-59903dd251ee,Challenge,Engineering,Electrical Motors and Drive /  Electromagnetics
b430582b-9277-4df6-a8e7-df6123dcea66,Challenge,Engineering,Electrochemical Sciences
e7340e21-72a6-4678-aee4-e81b9da33f31,Challenge,Engineering,End Use Energy Demand (Energy Efficiency)
84904279-0553-4948-8dc0-0401f3b20571,Challenge,Engineering,Energy Networks
58eef666-a61b-482f-b87b-a0f18109c638,Challenge,Engineering,Energy Storage
1847ebd8-87f8-44e5-81b3-acb28ef867c2,Challenge,Engineering,Engineering Design
9bf77d81-fc43-4a6b-ba34-f19082fce45b,Challenge,Engineering,Fluid Dynamics and Aerodynamics
f5849a44-a538-4cb0-93e4-e75901add571,Challenge,Engineering,Functional Ceramics and Inorganics
fb5b3f7a-7666-4f63-88ea-4db9e29d7256,Challenge,Engineering,Geometry & Topology
58670719-5343-49d9-bdab-30aa48ba55df,Challenge,Engineering,Graphene and Carbon Nanotechnology
17721281-fdb0-4223-80d2-d98c0fc0da50,Challenge,Engineering,Ground Engineering
0b639209-a521-4481-8b35-721ebf02d421,Challenge,Engineering,Human Communication in ICT
f4ed4360-b172-45b7-8b0a-51b9aec34610,Challenge,Engineering,Human-Computer Interaction
31a71d72-967c-43bb-8d96-9120a380e3ca,Challenge,Engineering,ICT Networks & Distributed Systems
2117c397-5e70-40ee-9644-dc761fecf18c,Challenge,Engineering,Image and Vision Computing
5db65795-be46-40cf-b2af-3d9f3751f43c,Challenge,Engineering,Information Systems
90bdc756-3c96-4ddb-b7d4-9e64b7c7fef3,Challenge,Engineering,Infrastructure and Urban Systems
e003fca4-a2c8-46c5-be85-fedf217cfacf,Challenge,Engineering,Light Matter Interaction and Optical Phenomena
defa0b39-0586-4bcd-b824-fe5ac4154c7e,Challenge,Engineering,Manufacturing Technologies
43dbfc54-b38b-4624-a077-a3d4d5774c27,Challenge,Engineering,Materials Engineering - Ceramics
deebabfa-2290-4605-8720-7c7ef4db3dc1,Challenge,Engineering,Materials Engineering - Composites
0b117b4c-ef27-44ee-be91-0d14fbcd7dd9,Challenge,Engineering,Materials Engineering - Metals & Alloys
f5554113-cc05-483b-b19d-fdc6ee7d380a,Challenge,Engineering,Materials For Energy Applications
b09abcbc-ee8a-4fa4-b1c7-33c6872d6e70,Challenge,Engineering,Mathematical Analysis
9d777788-876d-4d06-9571-4e3c703ff94a,Challenge,Engineering,Medical Imaging (inc medical image and vision computing)
fcc4ca0e-75ce-4d8d-b5c0-89752b49e058,Challenge,Engineering,Microelectronics Design
f7a321f5-899c-4057-b3cf-59d46085b174,Challenge,Engineering,Microelectronics Device Technology
c14f2500-7011-4108-a682-3585f57d49de,Challenge,Engineering,Microsystems
7a837c1e-7000-4c3a-aa32-d0bdcd2473f0,Challenge,Engineering,Music and Acoustic Technology
9ff4d774-4cb7-4526-9796-867835ce3b8e,Challenge,Engineering,Non-Linear Systems
66d7d87a-8ca6-4ee3-b26d-ccc5ea852a8a,Challenge,Engineering,Nuclear Fission
2018ee4c-5e5b-4f95-9791-8bc03721c701,Challenge,Engineering,Numerical Analysis
f003fb71-fdc7-4681-8d87-1100791089f3,Challenge,Engineering,Operational Research
c93bedab-880f-4813-92d9-dbb82e51dd27,Challenge,Engineering,Optical Communications
ece46d47-de44-448b-9cc4-c17b00f25986,Challenge,Engineering,Optical Devices and Subsystems
55cf9328-b9a2-4763-90b5-2e0f4b1b4c2b,Challenge,Engineering,Optoelectronic Devices and Circuits
d33bcdbe-82f4-4e29-bc8a-eb3fba87ad18,Challenge,Engineering,Particle Technology
4931ae2d-763a-41cc-a0af-37cd0e3ef406,Challenge,Engineering,Performance and Inspection of Mechanical Structures and Systems
71e55ce8-7555-42bc-90d4-62dc0a9ca310,Challenge,Engineering,Pervasive and Ubiquitous Computing
218abbbb-cd2b-4c01-8d29-b86670439a20,Challenge,Engineering,Photonic Materials
4fe0f46f-60e0-4fd5-b044-796234ac95a4,Challenge,Engineering,Plasma and Lasers
d9410333-051e-43e1-81eb-40232b0cebcf,Challenge,Engineering,Polymer Materials
b2ce8e62-4771-4222-a6f8-ea712cde8c9b,Challenge,Engineering,Process Systems: Components and Integration
49ee4348-80fe-40ba-92ec-b6cd68dfc517,Challenge,Engineering,"Quantum Devices, Components and Systems"
2a72e0ae-eb70-4f11-a569-62128e3c8f5a,Challenge,Engineering,Quantum Optics and Information
01865048-0fc7-4483-adc1-69d989824eec,Challenge,Engineering,RF & Microwave Devices
bb32928c-4a10-4624-9149-0899d8c14cbb,Challenge,Engineering,RF & MW Communications
71c7c5ca-05d7-477d-b3aa-8103d503a3fe,Challenge,Engineering,Robotics
81d3f1f5-a4df-4fb4-ae4b-ef69b630cc38,Challenge,Engineering,Sensors and Instrumentation
1e9e6c7a-8aef-48e0-a515-b6bf9cb96a33,Challenge,Engineering,Software Engineering
2af53906-3777-484d-827f-720d2dfb4003,Challenge,Engineering,Solar Technology
d18f79cd-807f-4b20-95ad-408dcff79aec,Challenge,Engineering,Spintronics
26d0b5ec-a0b3-4c7f-bf52-4e82fdf80730,Challenge,Engineering,Statistics and Applied Probability
0f57a57e-0e05-41d5-95c0-335c9fd4c572,Challenge,Engineering,Structural Engineering
a2ac8b5b-99d1-49ab-9223-d1c8a35b7d1c,Challenge,Engineering,Superconductivity
ffc74022-deef-426a-b6c6-efe7c27a8add,Challenge,Engineering,Surface Science
20c0a4ab-9930-4db7-b32d-dd44f7ba8fdf,Challenge,Engineering,Synthetic Biology
e09e3278-a4ee-4d1d-8d25-f747b2f0ff8f,Challenge,Engineering,Synthetic Coordination Chemistry
f0356163-8b6b-4ac2-b0fa-74abf1e0c6a4,Challenge,Engineering,Synthetic Organic Chemistry
851a3a82-9a5d-4f69-aeae-adaf5b5f4284,Challenge,Engineering,Synthetic Supramolecular Chemistry
9b3a6ecc-4c5a-4b5a-8ea4-07e099313df7,Challenge,Engineering,Theoretical Computer Science
b1ac6ff6-54d3-4fdf-8e7f-755fc56520a1,Challenge,Engineering,Verification and Correctness
ee9fa709-4e5e-4031-af9c-31559ba68002,Challenge,Engineering,"Vision, Hearing and Other Senses"
0fd617cd-07b1-4822-b776-4898c5a64924,Challenge,Engineering,Water Engineering
ae9d6c8b-43da-4703-b379-c9afaa6cf1f3,Challenge,Engineering,Wind Power
449ba5fc-d142-4ffe-99e7-e7c75cccd59c,Challenge,Information and Communication Technologies,Algebra
bf06f626-e6ad-43c5-bb1c-d39f4bf39afc,Challenge,Information and Communication Technologies,Analytical Science
c1acea38-92a6-45e9-af5a-1015916459de,Challenge,Information and Communication Technologies,Antihydrogen
